first_name,last_name,event_name,event_year,division,weight,wins,losses,placement,is_all_american,notes
Tye,Johnson,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,126,2,2,,false,2-2. Lost R1 to Brown (IN); beat Martin & Magnas in conso; lost to Spurgeon (IA).
Chris,Braxton,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,126,0,2,,false,0-2. Lost R1 to Katherman (MN); eliminated in first consolation round.
Gabriel,Rogers,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,126,3,2,,false,3-2. Lost R1 to Ruiz (TX); won 3 straight in consolation (incl. Yordy) before elimination.
Tiaj,Thao,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,132,0,2,,false,0-2 per confirmation. Opponent details pending.
Tyler,Watt,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,138,2,2,,false,2-2 per confirmation.
Bryce,Perry,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,138,1,2,,false,1-2 per confirmation.
Dylan,Welch,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,138,0,2,,false,0-2 per confirmation.
Jaylen,Bethea,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,144,1,2,,false,1-2 per confirmation.
Michael,Fischer,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,144,0,2,,false,0-2 per confirmation.
Jackson,Rowling,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,3,2,,false,3-2 per confirmation.
Bentley,Sly,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,4,2,,false,"4-2. Lost R1 to Acuna (MT); won 4 straight conso (Fitzgerald TX, Cosby MI, McMullen PA, Hobson IL) before losing to Turi (PA) in cons R16."
Joshua,Stonebraker,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,1,2,,false,1-2 per confirmation.
John,Schulz,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,0,2,,false,0-2 per confirmation.
Chase,Hernandez,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,157,0,2,,false,0-2 per confirmation.
Braden,Reynolds,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,157,0,2,,false,0-2 per confirmation.
Troy,Shannon,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,157,3,2,,false,3-2 per confirmation.
Jeremiah,Johnson,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,165,1,2,,false,1-2 per confirmation.
Andrew,Meadows,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,165,1,2,,false,1-2 per confirmation.
Noah,Michael,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,175,1,2,,false,1-2 per confirmation.
Dominic,Blue,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,175,2,2,,false,2-2 per confirmation.
Jack,Harty,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,175,2,2,,false,2-2 per confirmation.
Troy,Deniz,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,190,1,2,,false,1-2 per confirmation.
Dominic,Hittepole,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,190,0,2,,false,0-2 per confirmation.
Jojo,Trahan,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,285,0,2,,false,0-2 per confirmation.
Damien,Couture,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,285,2,2,,false,2-2 per confirmation.
