first_name,last_name,event_name,event_year,division,weight,wins,losses,placement,is_all_american,notes
Jake,Amiott,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,144,6,3,8th,true,"6-3, 8th (AA). Champ: beat Hutchinson (KS), Gonzalez (FL) 7-5, Vanderiet (MS); lost to Oscar (OH). Conso: beat Rodriguez (IL), Boxley (CT), Cantera (OH); lost to Kosko (PA/3rd) and Gabel (CO/7th)."
Jonathan,Helbert,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,106,0,2,,false,0-2 per confirmation.
Cam,Johnson,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,106,1,2,,false,1-2 per confirmation.
Mason,Brown,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,120,2,2,,false,2-2 per confirmation.
Adam,Hart,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,126,0,2,,false,0-2 per confirmation.
Bennett,Evans,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,138,1,2,,false,1-2 per confirmation.
Amanuel,Kahsai,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,190,3,2,,false,3-2 per confirmation.
Aaron,Ruiz-Angel,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,215,4,2,,false,4-2 per confirmation - just missed AA.
Ahmet,Zaggout,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,150,2,2,,false,2-2 per confirmation.
Mitchell,Rowland,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,150,4,2,,false,4-2 per confirmation - just missed AA.
Christopher,Gaither,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,150,1,2,,false,1-2 per confirmation.
Conner,Smolen,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,175,0,2,,false,0-2 per confirmation.
James,Stephens,US Marine Corps National Championships (Fargo),2026,16U Boys Freestyle,190,0,2,,false,0-2 per confirmation.
Christopher,Goucher,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,100,1,2,,false,Lost R1 to Ortega (IL); won 1 conso match then eliminated. Confirm.
Ryan,Johnson,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,100,1,2,,false,"Beat Lower (IL) R1; lost to Wachter (OH) R2, then eliminated in consolation."
Joseph,Little III,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,113,1,2,,false,Beat Huston (OH) R1; lost to Miles (AZ) then eliminated in consolation.
Mac,Johnson,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,120,0,2,,false,"Lost R1 to Mills (GA, #4 seed/placer) TF 14-4; lost to Brown (KS) in conso. 0-2."
Anirudh,Baddi,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,120,0,2,,false,Lost R1; eliminated in first consolation round. 0-2.
Tye,Johnson,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,126,2,2,,false,2-2. Lost R1 to Brown (IN); beat Martin & Magnas in conso; lost to Spurgeon (IA).
Chris,Braxton,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,126,0,2,,false,0-2. Lost R1 to Katherman (MN); eliminated in first consolation round.
Gabriel,Rogers,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,126,3,2,,false,3-2. Lost R1 to Ruiz (TX); won 3 straight in consolation (incl. Yordy) before elimination.
Tiaj,Thao,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,132,0,2,,false,0-2 per confirmation. Opponent details pending.
Tyler,Watt,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,138,2,2,,false,2-2 per confirmation.
Bryce,Perry,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,138,1,2,,false,1-2 per confirmation.
Dylan,Welch,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,138,0,2,,false,0-2 per confirmation.
Jaylen,Bethea,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,144,1,2,,false,1-2 per confirmation.
Michael,Fischer,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,144,0,2,,false,0-2 per confirmation.
Jackson,Rowling,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,3,2,,false,3-2 per confirmation.
Bentley,Sly,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,4,2,,false,"4-2. Lost R1 to Acuna (MT); won 4 straight conso (Fitzgerald TX, Cosby MI, McMullen PA, Hobson IL) before losing to Turi (PA) in cons R16."
Joshua,Stonebraker,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,1,2,,false,1-2 per confirmation.
John,Schulz,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,150,0,2,,false,0-2 per confirmation.
Chase,Hernandez,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,157,0,2,,false,0-2 per confirmation.
Braden,Reynolds,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,157,0,2,,false,0-2 per confirmation.
Troy,Shannon,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,157,3,2,,false,3-2 per confirmation.
Jeremiah,Johnson,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,165,1,2,,false,1-2 per confirmation.
Andrew,Meadows,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,165,1,2,,false,1-2 per confirmation.
Noah,Michael,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,175,1,2,,false,1-2 per confirmation.
Dominic,Blue,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,175,2,2,,false,2-2 per confirmation.
Jack,Harty,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,175,2,2,,false,2-2 per confirmation.
Troy,Deniz,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,190,1,2,,false,1-2 per confirmation.
Dominic,Hittepole,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,190,0,2,,false,0-2 per confirmation.
Jojo,Trahan,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,285,0,2,,false,0-2 per confirmation.
Damien,Couture,US Marine Corps National Championships (Fargo),2025,Junior Boys Freestyle,285,2,2,,false,2-2 per confirmation.
Jonathan,Helbert,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,106,0,2,,false,Lost to Marchack (MO) and B. James (TX).
Esteban,Placencia,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,106,0,2,,false,Lost to Scrapper (CA) and Bryant (NY).
Catoe,Byrd,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,120,0,2,,false,Lost to Valls (NY) and S. Adams (OH).
Lucas,Restrepo,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,120,0,2,,false,Lost to Marchetti (PA) and D. Williams (MN).
Jekai,Sedgwick,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,120,2,2,,false,Beat Montoya-Mora & V. White; lost to Scott (ID) and Enderle (MO).
Connor,Reece,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,138,2,2,,false,Beat Commendatore & Dicksion; lost to Borgers (OH) and U. Lopez (OH).
Jake,Amiott,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,138,2,2,,false,Beat Sonberg (IA) & Burton (OK); lost to Solis (FL) and Dowty (IN).
Carter,Hoots,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,144,0,2,,false,Lost to Kromrey (WI) and Surrette (TX).
Christopher,Gaither,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,144,0,2,,false,Lost to Hulne (IL) and Loya (ID).
James,McGovern,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,144,0,2,,false,Lost to McFate (NV) and Esposito (NJ).
Ammon,Scott,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,144,1,2,,false,Beat Vargas (WI); lost to Necula (GA) and Surrette (TX).
Noah,Cerino,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,150,0,2,,false,Lost to Torosian (CA) and Lombardi (RI).
William,Murray,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,150,0,2,,false,Lost to Reuter (AK) and Lockhart (CO).
Hayden,Smith,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,150,1,2,,false,Beat Mincer (FL); lost to Diaz (NE) and King (GA).
Aaron,Ellison,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,150,4,2,,false,4-2 in FREESTYLE (DNP). Beat Swinford AL/Pollock OH/Reichert NY/Long IN; lost to Martin (MN) and Moro (OH). NOTE: was a GRECO All-American (8th) - not counted here (this analysis is freestyle only).
Ryan,Thompson,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,165,2,2,,false,Beat McVey (AR) & Young (CA); lost to Bonura (NY) and Sackett (MO).
Aaron,Ruiz-Angel,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,215,3,2,,false,Beat Theriot OK/Acevedo RI/David WA; lost to Sandoval (CA) and Havlish (WI).
Caden,Bennett,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,285,1,2,,false,Beat Sarabia (OK); lost to Schwinghammer (MN) and Simpkins (MN).
Carson,Raper,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,100,4,2,,false,Beat Rankin VA/Taft WA/Koerner IL/Frost AZ; lost to Guillermo (CA) and Hall (MO). Just missed AA.
Dennis,Mitchell,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,113,0,2,,false,Lost to Streff (NE) and Cooper (MI).
Jaycob,Perez,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,132,1,2,,false,Beat Weigel (WI); lost to Puderbaugh (KS) and B. Smith (AR).
Ayden,Sumners,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,132,2,2,,false,Beat Flores (IN) & Heskett (OH); lost to Reeves (PA) and Briquelet (AZ).
Aiden,White,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,132,4,2,,false,Beat Shew IA/Honiss MI/Mamakos WV/Debevoise OH; lost to Banas (IL) and Leanza (PA). Just missed AA.
Campbell,Tufts,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,157,2,2,,false,Beat Hezel (GA) & Chicco (NY); lost to McDonnell (CA) and Harned (ID).
Cameron,Hardy,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,157,0,2,,false,Lost to Sommers (IN) and Hezel (GA).
Micah,Howard,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,157,0,2,,false,Lost to Waters (MO) and Bency (CO).
Drew,Teeter,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,175,2,2,,false,Beat De Morais (GA) & Morales (VA); lost to Marques (NJ) and McNally (OH).
Marley,Williams,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,190,0,2,,false,Lost to Neill (WA) and Silverfield (FL).
Gavin,Lopez,US Marine Corps National Championships (Fargo),2025,16U Boys Freestyle,215,0,2,,false,Lost to Mouw (IA) and Tucker (PA).
